snake_name,scientific_name,toxicity,size
Central American Jumping Pitviper,Metlapilcoatlus nummifer,venomous 💀💀💀 dangerous bite,Length: 13.0 to 76.2 cm
Jumping Pit Viper,Metlapilcoatlus occiduus,venomous 💀💀💀 dangerous bite,Length: up to 80.0 cm
Olmecan Pitviper,Metlapilcoatlus olmec,venomous 💀💀💀 dangerous bite,Length: up to 80.0 cm
Kenya Two Headed Snake,Micrelaps bicoloratus,venomous ?💀? unclear dangerousness,Length: up to 32.0 cm
Müller's Snake,Micrelaps muelleri,venomous ?💀? unclear dangerousness,Length: up to 53.0 cm
Tchernov' S Chainling,Micrelaps tchernovi,venomous ?💀? unclear dangerousness,Length: up to 45.0 cm
Somali Two Headed Snake,Micrelaps vaillanti,venomous ?💀? unclear dangerousness,Length: up to 49.0 cm
New Guinea Small Eyed Snake,Micropechis ikaheca,venomous 💀💀💀💀 very dangerous bite,Length: up to 210.0 cm
Chevron Necked Snake,Micropisthodon ochraceus,unclear toxicity ??? unclear dangerousness,Length: up to 85.0 cm
Sonoran Coral Snake,Micruroides euryxanthus,venomous 💀💀💀💀 very dangerous bite,Length: up to 66.0 cm
White Banded Coral Snake,Micrurus albicinctus,venomous 💀💀💀💀 very dangerous bite,Length: up to 58.0 cm
Allen's Coral Snake,Micrurus alleni,venomous 💀💀💀💀 very dangerous bite,Length: up to 130.0 cm
Uruguayan Coral Snake,Micrurus altirostris,venomous 💀💀💀💀 very dangerous bite,Length: up to 131.0 cm
Regal Coral Snake,Micrurus ancoralis,venomous 💀💀💀💀 very dangerous bite,Length: up to 151.0 cm
Annellated Coral Snake,Micrurus annellatus,venomous 💀💀💀💀 very dangerous bite,Length: up to 73.0 cm
Black Headed Coral Snake,Micrurus averyi,venomous 💀💀💀💀 very dangerous bite,Length: up to 72.0 cm
Mesopotamian Coral Snake,Micrurus baliocoryphus,venomous 💀💀💀💀 very dangerous bite,Length: up to 145.0 cm
Blotched Coral Snake,Micrurus bernadi,venomous 💀💀💀💀 very dangerous bite,Length: up to 83.0 cm
False Triad Coral Snake,Micrurus bocourti,venomous 💀💀💀💀 very dangerous bite,Length: up to 82.0 cm
Bogert's Coral Snake,Micrurus bogerti,venomous 💀💀💀💀 very dangerous bite,Length: up to 87.0 cm
Coralillo Brasileña,Micrurus brasiliensis,venomous 💀💀💀💀 very dangerous bite,Length: up to 151.0 cm
Brown's Coral Snake,Micrurus browni,venomous 💀💀💀💀 very dangerous bite,Length: up to 100.0 cm
Camila's Coral Snake,Micrurus camilae,venomous 💀💀💀💀 very dangerous bite,Length: up to 45.0 cm
